2021-12-27 21:41:06,748 - Start print log
2021-12-27 21:41:11,446 - policy
2021-12-27 21:41:11,452 - None
2021-12-27 21:41:11,452 - value
2021-12-27 21:41:11,454 - None
2021-12-27 21:41:11,454 - discriminator
2021-12-27 21:41:11,458 - None
2021-12-27 21:41:11,565 - batch_size 4096
2021-12-27 21:41:11,565 - stage: gail, agents num 2
2021-12-27 22:09:47,209 - St: gail, Ep: 601, Rew: 181.539, ag_num: 2, time: 241.3846, final: 182.096, pol_l: -0.0028, kl: 0.0064, val_l: 3.5906, ag_rew: 0.4584, ex_rew: 1.6118, dis_l: 0.9338
2021-12-27 22:10:22,201 - St: gail, Ep: 602, Rew: 130.0386, ag_num: 2, time: 199.5429, final: 141.3187, pol_l: -0.0134, kl: 0.0071, val_l: 5.5325, ag_rew: 0.4838, ex_rew: 1.5688, dis_l: 0.9792
2021-12-27 22:10:54,306 - St: gail, Ep: 603, Rew: 145.4793, ag_num: 2, time: 192.8235, final: 153.1496, pol_l: -0.0021, kl: 0.0041, val_l: 4.9893, ag_rew: 0.472, ex_rew: 1.5656, dis_l: 0.9496
2021-12-27 22:11:31,092 - St: gail, Ep: 604, Rew: 223.2526, ag_num: 2, time: 244.3214, final: 190.6948, pol_l: -0.013, kl: 0.007, val_l: 3.5636, ag_rew: 0.4798, ex_rew: 1.5148, dis_l: 0.9888
2021-12-27 22:12:04,219 - St: gail, Ep: 605, Rew: 201.8712, ag_num: 2, time: 268.4286, final: 216.031, pol_l: 0.0027, kl: -0.0, val_l: 4.21, ag_rew: 0.4759, ex_rew: 1.5149, dis_l: 0.9767
2021-12-27 22:12:04,225 - stage gail, checkpoints establish, episode 605
2021-12-27 22:12:39,928 - St: gail, Ep: 606, Rew: 186.8922, ag_num: 2, time: 246.8276, final: 195.0864, pol_l: 0.0045, kl: -0.0, val_l: 4.1369, ag_rew: 0.5047, ex_rew: 1.4723, dis_l: 1.0149
2021-12-27 22:12:39,929 - stage gail, checkpoints establish, episode 606
2021-12-27 22:13:11,769 - St: gail, Ep: 607, Rew: 165.5582, ag_num: 2, time: 235.9375, final: 182.3022, pol_l: 0.0031, kl: -0.0, val_l: 5.0912, ag_rew: 0.4962, ex_rew: 1.4509, dis_l: 1.0054
2021-12-27 22:13:47,574 - St: gail, Ep: 608, Rew: 208.9858, ag_num: 2, time: 242.5517, final: 204.452, pol_l: 0.0039, kl: 0.0, val_l: 5.4385, ag_rew: 0.5111, ex_rew: 1.3904, dis_l: 1.0459
2021-12-27 22:14:27,590 - St: gail, Ep: 609, Rew: 189.0008, ag_num: 2, time: 239.5, final: 183.979, pol_l: 0.0022, kl: -0.0, val_l: 4.2865, ag_rew: 0.5221, ex_rew: 1.3646, dis_l: 1.0585
2021-12-27 22:15:01,127 - St: gail, Ep: 610, Rew: 153.1579, ag_num: 2, time: 244.7879, final: 180.8796, pol_l: 0.0013, kl: -0.0, val_l: 5.1303, ag_rew: 0.5018, ex_rew: 1.4143, dis_l: 1.0126
2021-12-27 22:15:34,548 - St: gail, Ep: 611, Rew: 193.6876, ag_num: 2, time: 188.9091, final: 178.948, pol_l: -0.0016, kl: 0.0, val_l: 5.061, ag_rew: 0.4725, ex_rew: 1.4795, dis_l: 0.9629
2021-12-27 22:16:09,685 - St: gail, Ep: 612, Rew: 141.1397, ag_num: 2, time: 214.1818, final: 159.9602, pol_l: 0.0015, kl: -0.0, val_l: 7.9446, ag_rew: 0.5339, ex_rew: 1.4047, dis_l: 1.0549
2021-12-27 22:16:48,891 - St: gail, Ep: 613, Rew: 153.3386, ag_num: 2, time: 169.5897, final: 146.5156, pol_l: 0.001, kl: 0.0, val_l: 6.5053, ag_rew: 0.5129, ex_rew: 1.4348, dis_l: 1.0151
2021-12-27 22:17:23,799 - St: gail, Ep: 614, Rew: 131.4772, ag_num: 2, time: 189.3077, final: 164.6924, pol_l: -0.0019, kl: -0.0, val_l: 5.4253, ag_rew: 0.4854, ex_rew: 1.5014, dis_l: 0.9717
2021-12-27 22:18:07,327 - St: gail, Ep: 615, Rew: 157.592, ag_num: 2, time: 136.9762, final: 148.1832, pol_l: -0.0025, kl: -0.0, val_l: 7.2434, ag_rew: 0.4818, ex_rew: 1.5379, dis_l: 0.9595
2021-12-27 22:18:46,915 - St: gail, Ep: 616, Rew: 178.0726, ag_num: 2, time: 193.2051, final: 161.5586, pol_l: -0.0032, kl: 0.0062, val_l: 6.0114, ag_rew: 0.4514, ex_rew: 1.6003, dis_l: 0.9105
2021-12-27 22:19:24,505 - St: gail, Ep: 617, Rew: 113.0429, ag_num: 2, time: 145.86, final: 145.8855, pol_l: -0.0211, kl: 0.0065, val_l: 7.2851, ag_rew: 0.4734, ex_rew: 1.5873, dis_l: 0.9379
2021-12-27 22:20:00,547 - St: gail, Ep: 618, Rew: 187.255, ag_num: 2, time: 225.0714, final: 191.4643, pol_l: -0.0226, kl: 0.0077, val_l: 6.3178, ag_rew: 0.451, ex_rew: 1.605, dis_l: 0.8993
